id,name,trainer_netkeiba_id
1,田中博康,1162
2,高橋裕,412
3,村田一誠,1190
4,深山雅史,1174
5,小手川準,1171
6,小島茂之,1068
7,菊沢隆徳,1115
8,中野栄治,1010
9,杉浦宏昭,1008
10,尾形和幸,1141
11,小笠倫弘,1076
12,鈴木伸尋,1026
13,上原博之,423
14,和田雄二,1143
15,青木孝文,1156
16,古賀慎明,1079
17,田島俊明,1112
18,菊川正達,1052
19,加藤和宏,1077
20,武井亮,1147
21,伊藤圭三,1023
22,大竹正博,1102
23,伊坂重信,1177
24,鈴木慎太,1179
25,南田美知,437
26,斎藤誠,1086
27,的場均,1063
28,武藤善則,1064
29,小野次郎,1125
30,本間忍,1056
31,奥村武,1145
32,畠山吉宏,1048
33,新開幸一,1116
34,小桧山悟,1005
35,高木登,1088
36,林徹,1163
37,奥平雅士,1074
38,上原佑紀,1192
39,石毛善彦,428
40,田中剛,1119
41,加藤士津,1169
42,中川公成,1081
43,加藤征弘,1059
44,堀宣行,1070
45,相沢郁,1020
46,宮田敬介,1175
47,伊藤大士,1109
48,蛯名正義,1191
49,栗田徹,1127
50,天間昭一,1090
51,鹿戸雄一,1097
52,勢司和浩,1047
53,高橋文雅,1134
54,佐藤吉勝,1035
55,戸田博文,1054
56,辻哲英,1182
57,金成貴史,1132
58,大和田成,1124
59,小西一男,405
60,粕谷昌央,1096
61,牧光二,1106
62,手塚貴久,1038
63,清水英克,1080
64,竹内正洋,1152
65,矢野英一,1108
66,萱野浩二,1024
67,中舘英二,1153
68,根本康広,1029
69,国枝栄,399
70,水野貴広,1094
71,武市康男,1089
72,松山将樹,1100
73,清水久詞,1110
74,矢作芳人,1075
75,西園翔太,1196
76,中内田充,1137
77,松永幹夫,1092
78,堀内岳志,1189
79,昆貢,1044
80,木村哲也,1126
81,[地]山下貴之,5753
82,武幸四郎,1160
83,杉山晴紀,1157
84,田中克典,1180
85,伊藤伸一,1031
86,池添学,1144
87,和田勇介,1165
88,平田修,1082
89,和田正一,1114
90,池上昌和,1150
91,宗像義忠,420
92,久保田貴,1067
93,大久保龍,1058
94,杉山佳明,1178
95,中村直也,1186
96,音無秀孝,1002
97,飯田祐史,1139
98,本田優,1099
99,吉岡辰弥,1176
100,笹田和秀,1104
101,小林真也,1185
102,浜田多実,1138
103,奥村豊,1146
104,森田直行,1142
105,高橋義忠,1129
106,吉田直弘,1101
107,新谷功一,1172
108,鮫島一歩,1046
109,武英智,1161
110,中竹和也,1039
111,岡田稲男,1066
112,寺島良,1158
113,今野貞一,1128
114,河内洋,1072
115,北出成人,1078
116,四位洋文,1184
117,石坂公一,1166
118,斉藤崇史,1151
119,高柳大輔,1159
120,茶木太樹,1181
121,牧浦充徳,1113
122,中尾秀正,1069
123,大橋勇樹,1065
124,藤岡健一,1062
125,畑端省吾,1188
126,牧田和弥,1123
127,上村洋行,1168
128,高橋亮,1136
129,小崎憲,1085
130,辻野泰之,1183
131,野中賢二,1098
132,羽月友彦,1091
133,藤原英昭,1055
134,角田晃一,1121
135,川村禎彦,1003
136,松下武士,1149
137,吉村圭司,1130
138,安達昭夫,1042
139,宮徹,1018
140,友道康夫,1061
141,宮本博,1073
142,坂口智康,1170
143,安田隆行,438
144,安田翔伍,1164
145,谷潔,431
146,庄野靖志,1087
147,藤沢則雄,1041
148,渡辺薫彦,1155
149,西園正都,1028
150,松永昌博,1083
151,橋口慎介,1154
152,加用正,425
153,飯田雄三,1050
154,高橋康之,1135
155,村山明,1107
156,鈴木孝志,1111
157,長谷川浩,1173
158,小栗実,1194
159,須貝尚介,1105
160,千田輝彦,1120
161,佐々木晶,429
162,西村真幸,1148
163,池江泰寿,1071
164,岩戸孝樹,1051
165,蛯名利弘,1131
166,稲垣幸雄,1167
167,高柳瑞樹,1118
168,田村康仁,1027
169,萩原清,1017
170,嘉藤貴行,1195
171,西田雄一,1187
172,木原一良,1033
173,尾関知人,1103
174,土田稔,417
175,梅田智之,1084
176,黒岩陽一,1133
177,大根田裕,1032
178,森秀行,427
179,荒川義之,1095
180,高野友和,1117
181,緒方努,1193
182,石橋守,1140
183,石栗龍彦,1043
184,松永康利,1093
185,[地]角田輝也,5242
186,[地]田中淳司,5630
187,[地]長谷川忍,5779
188,[地]渡辺和雄,5667
189,[地]新子雅司,5691
190,[地]藤原智行,5766
191,[地]佐久間雅,5615
192,千葉直人,1199
193,福永祐一,1203
194,森一誠,1201
195,矢嶋大樹,1202
196,高橋一哉,1206
197,河嶋宏樹,1198
198,藤野健太,1200
199,小椋研介,1197
200,[外]シャム,5676
201,[地]飯田弘道,5778
202,[外]イウ,5649
203,[地]佐藤裕太,5719
204,[地]中川竜馬,5624
205,[地]鮫島克也,5771
206,[地]平山宏秀,5738
207,[地]村上正和,5301
208,[地]米川昇,5509
209,[地]宇野木博,5780
210,[地]井樋一也,5781
211,[地]桧森邦夫,5108
212,[地]小国博行,5758
213,[地]小野望,5688
214,[地]斉藤正弘,5660
215,[地]加藤誠一,5765
216,[外]ン,5782
217,宮地貴稔,1211
218,[地]伊藤強一,5076
219,[外]ヴェリア,5679
220,[外]グラファ,5701
221,[地]河津裕昭,5439
222,[外]オブライ,5518
223,[外]シュタイ,5783
224,[地]石橋満,5775
225,[地]佐宗応和,5750
226,[地]宗形竹見,5622
227,[外]リー,5784
